,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,ticker,exchange,shortName,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,outstandingShare,issueShare,companyType,monthlyRecords,file_monthly_datas
0,0,0,0,0,0,0,0,0,0,0,DHT,HNX,Dược phẩm Hà Tây,Bán lẻ,Retail,2001,795,749,0.271,http://www.hataphar.com.vn,2.8,26.4,26.4,CT,DHT.csv,DHT.csv
1,1,1,1,1,1,1,1,1,1,1,DGW,HOSE,Thế Giới Số,Bán lẻ,Retail,2003,612,1228,0.259,https://digiworld.com.vn,2.9,163.1,163.2,CT,DGW.csv,DGW.csv
2,2,2,2,2,2,2,2,2,2,2,TTH,HNX,TM và DV Tiến Thành,Bán lẻ,Retail,2003,21,1452,0.003,http://www.tienthanhjsc.vn,,37.4,37.4,CT,TTH.csv,TTH.csv
3,3,3,3,3,3,3,3,3,3,3,MWG,HOSE,Thế giới di động,Bán lẻ,Retail,2004,40756,20628,0.49,http://www.mwg.vn,2.9,1463.6,1463.9,CT,MWG.csv,MWG.csv
4,4,4,4,4,4,4,4,4,4,4,PIT,HOSE,XNK PETROLIMEX,Bán lẻ,Retail,2004,215,1607,0.008,http://www.pitco.com.vn,2.2,14.2,15.2,CT,PIT.csv,PIT.csv
5,5,5,5,5,5,5,5,5,5,5,ABS,HOSE,DV Nông nghiệp Bình Thuận,Bán lẻ,Retail,2004,54,7471,0,http://www.bitagco.com,2.5,80,80,CT,ABS.csv,ABS.csv
6,6,6,6,6,6,6,6,6,6,6,PET,HOSE,PETROSETCO,Bán lẻ,Retail,2005,2739,6272,0.015,http://www.petrosetco.com.vn,2.5,89.8,90.5,CT,PET.csv,PET.csv
7,7,7,7,7,7,7,7,7,7,7,KGM,UPCOM,XNK Kiên Giang,Bán lẻ,Retail,2005,280,0,0,http://www.kigimex.com.vn,,25.4,25.4,CT,KGM.csv,KGM.csv
8,8,8,8,8,8,8,8,8,8,8,PSD,HNX,Phân phối Tổng hợp Dầu khí,Bán lẻ,Retail,2007,313,1045,0.01,http://www.psd.com.vn,2.7,30.7,30.7,CT,PSD.csv,PSD.csv
9,9,9,9,9,9,9,9,9,9,9,SBV,HOSE,Siam Brothers Việt Nam,Bán lẻ,Retail,2008,531,481,0.148,http://www.siambrothersvn.com,3.1,27.3,27.4,CT,SBV.csv,SBV.csv
10,10,10,10,10,10,10,10,10,10,10,TV6,UPCOM,TM ĐT xây lắp điện Thịnh Vượng,Bán lẻ,Retail,2008,0,0,0.49,http://www.thinhvuongvn.com,2.1,3,3,CT,TV6.csv,TV6.csv
11,11,11,11,11,11,11,11,11,11,11,AFX,UPCOM,XNK Nông sản An Giang,Bán lẻ,Retail,2011,239,751,0,http://www.afiex.com.vn,2.4,35,35,CT,AFX.csv,AFX.csv
12,12,12,12,12,12,12,12,12,12,12,FRT,HOSE,Bán lẻ FPT,Bán lẻ,Retail,2012,10078,8981,0.243,http://frt.vn,2.7,118.5,118.5,CT,FRT.csv,FRT.csv
13,13,13,13,13,13,13,13,13,13,13,SAS,UPCOM,DV Hàng không sân bay TSN,Bán lẻ,Retail,2015,857,1112,0.004,http://www.sasco.com.vn/vi/trang-chu/,2.4,133.5,133.5,CT,SAS.csv,SAS.csv
14,14,14,14,14,14,14,14,14,14,14,AST,HOSE,Dịch vụ Hàng không Taseco,Bán lẻ,Retail,2015,453,505,0.445,http://www.tasecoairs.vn,2.5,45,45,CT,AST.csv,AST.csv
15,15,15,15,15,15,15,15,15,15,15,CEN,UPCOM,CENCON Việt Nam,Bán lẻ,Retail,2015,19,443,0,http://www.cencon.vn,,21.7,21.7,CT,CEN.csv,CEN.csv
16,16,16,16,16,16,16,16,16,16,16,PTI,HNX,Bảo hiểm Bưu điện,Bảo hiểm,Insurance,1998,2539,9896,0.383,https://www.pti.com.vn/,2.4,80.4,80.4,BH,PTI.csv,PTI.csv
17,17,17,17,17,17,17,17,17,17,17,BIC,HOSE,Bảo hiểm BIDV,Bảo hiểm,Insurance,1999,1170,1598,0.468,http://www.bic.vn,2.8,117.3,117.3,BH,BIC.csv,BIC.csv
18,18,18,18,18,18,18,18,18,18,18,BMI,HOSE,Bảo hiểm Bảo Minh,Bảo hiểm,Insurance,2004,1678,0,0.323,http://www.baominh.com.vn,2.5,109.6,109.6,BH,BMI.csv,BMI.csv
19,19,19,19,19,19,19,19,19,19,19,VNR,HNX,Tái bảo hiểm Quốc gia,Bảo hiểm,Insurance,2004,101,84,0.271,http://www.vinare.com.vn,2.7,150.7,150.7,BH,VNR.csv,VNR.csv
20,20,20,20,20,20,20,20,20,20,20,PVI,HNX,Bảo hiểm PVI,Bảo hiểm,Insurance,2006,2500,0,0.588,http://www.pvi.com.vn,2.7,234.2,234.2,BH,PVI.csv,PVI.csv
21,21,21,21,21,21,21,21,21,21,21,ABI,UPCOM,BH NH Nông Nghiệp,Bảo hiểm,Insurance,2006,748,0,0.092,http://www.abic.com.vn,2.6,50.4,43.2,BH,ABI.csv,ABI.csv
